No.,Target, Source, Enumeration
1, SSN, ENUM(region) + "-" + .id, {"NA": "1"",""EU" : 2"," "AS": 3"," "AF": 4}
2, CustomerFullName, .firstName + .lastName, -
3, CustomerAddress, .address.street + .address.suite, -
4, CustomerCity, .address.city, -
5, CustomerZipCode, .address.zipcode, -
6, CustomerProfession, ENUM(.occupation), {"self-employed": "SELF""," "salaried": "FIXED INCOME""," "other": "MISC"}
7, CustomerAge, .age, -
8, LoanHistory.item.collateralValue, IF(.loanHistory.item.collateral) THEN .loanHistory.item.collateral.estimatedValues ELSE 0, -
9, LoanHistory.item.interest, ANNUAL_COMPOUND_INTEREST(.loanHistory.item), -
10, TotalAssets, .liquid_assets + .non_liquid_assets, -
